algoritmo,tamanho,caso,tempo_s
sequencial,100000,existe,0.000000000
sequencial,100000,aleatorio,0.000000000
sequencial,200000,existe,0.000000000
sequencial,200000,aleatorio,0.001000000
sequencial,300000,existe,0.000000000
sequencial,300000,aleatorio,0.001000000
sequencial,400000,existe,0.000000000
sequencial,400000,aleatorio,0.001000000
sequencial,500000,existe,0.000000000
sequencial,500000,aleatorio,0.001000000
sequencial,600000,existe,0.000000000
sequencial,600000,aleatorio,0.002000000
sequencial,700000,existe,0.001000000
sequencial,700000,aleatorio,0.001000000
sequencial,800000,existe,0.000000000
sequencial,800000,aleatorio,0.002000000
sequencial,900000,existe,0.000000000
sequencial,900000,aleatorio,0.004000000
sequencial,1000000,existe,0.000000000
sequencial,1000000,aleatorio,0.002000000
binaria,100000,existe,0.000000000
binaria,100000,aleatorio,0.000000000
binaria,200000,existe,0.000000000
binaria,200000,aleatorio,0.000000000
binaria,300000,existe,0.000000000
binaria,300000,aleatorio,0.000000000
binaria,400000,existe,0.000000000
binaria,400000,aleatorio,0.000000000
binaria,500000,existe,0.000000000
binaria,500000,aleatorio,0.000000000
binaria,600000,existe,0.000000000
binaria,600000,aleatorio,0.000000000
binaria,700000,existe,0.000000000
binaria,700000,aleatorio,0.000000000
binaria,800000,existe,0.000000000
binaria,800000,aleatorio,1748179892123350600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000000
binaria,900000,existe,0.000000000
binaria,900000,aleatorio,0.000000000
binaria,1000000,existe,0.000000000
binaria,1000000,aleatorio,10590778926452296000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000000
vetor,100000,existe,0.000000000
lista,100000,existe,0.000000000
vetor,100000,aleatorio,0.000000000
lista,100000,aleatorio,0.000000000
vetor,200000,existe,0.001000000
lista,200000,existe,0.000000000
vetor,200000,aleatorio,0.000000000
lista,200000,aleatorio,0.000000000
vetor,300000,existe,0.000000000
lista,300000,existe,0.000000000
vetor,300000,aleatorio,0.000000000
lista,300000,aleatorio,0.000000000
vetor,400000,existe,0.000000000
lista,400000,existe,0.000000000
vetor,400000,aleatorio,0.000000000
lista,400000,aleatorio,0.000000000
vetor,500000,existe,0.000000000
lista,500000,existe,0.000000000
vetor,500000,aleatorio,0.000000000
lista,500000,aleatorio,0.000000000
vetor,600000,existe,0.000000000
lista,600000,existe,0.000000000
vetor,600000,aleatorio,0.000000000
lista,600000,aleatorio,0.000000000
vetor,700000,existe,0.000000000
lista,700000,existe,0.000000000
vetor,700000,aleatorio,0.000000000
lista,700000,aleatorio,0.001000000
vetor,800000,existe,0.000000000
lista,800000,existe,0.000000000
vetor,800000,aleatorio,0.000000000
lista,800000,aleatorio,0.001000000
vetor,900000,existe,0.000000000
lista,900000,existe,0.000000000
vetor,900000,aleatorio,0.000000000
lista,900000,aleatorio,0.000000000
vetor,1000000,existe,0.000000000
lista,1000000,existe,0.000000000
vetor,1000000,aleatorio,0.000000000
lista,1000000,aleatorio,0.000000000
bubble,10000,unico,0.135000000
insertion,10000,unico,0.000000000
selection,10000,unico,0.121000000
merge,10000,unico,0.002000000
quick,10000,unico,0.001000000
bubble,20000,unico,0.562000000
insertion,20000,unico,0.000000000
selection,20000,unico,0.474000000
merge,20000,unico,0.003000000
quick,20000,unico,0.002000000
bubble,30000,unico,1.206000000
insertion,30000,unico,0.000000000
selection,30000,unico,1.118000000
merge,30000,unico,0.004000000
quick,30000,unico,0.002000000
bubble,40000,unico,2.213000000
insertion,40000,unico,0.000000000
selection,40000,unico,1.968000000
merge,40000,unico,0.004000000
quick,40000,unico,0.002000000
bubble,50000,unico,3.417000000
insertion,50000,unico,0.000000000
selection,50000,unico,3.060000000
merge,50000,unico,0.009000000
quick,50000,unico,0.002000000
bubble,60000,unico,4.800000000
insertion,60000,unico,0.001000000
selection,60000,unico,4.345000000
merge,60000,unico,0.006000000
quick,60000,unico,0.002000000
bubble,70000,unico,6.601000000
insertion,70000,unico,0.001000000
selection,70000,unico,5.909000000
merge,70000,unico,0.008000000
quick,70000,unico,0.004000000
bubble,80000,unico,8.793000000
insertion,80000,unico,0.000000000
selection,80000,unico,7.929000000
merge,80000,unico,0.011000000
quick,80000,unico,0.003000000
bubble,90000,unico,12.955000000
insertion,90000,unico,0.001000000
selection,90000,unico,9.950000000
merge,90000,unico,0.010000000
quick,90000,unico,0.003000000
bubble,100000,unico,15.206000000
insertion,100000,unico,0.000000000
selection,100000,unico,13.404000000
merge,100000,unico,0.015000000
quick,100000,unico,0.006000000
